NCBI gene (formerly Entrezgene) ID,Gene name,Gene description,Gene stable ID
612940,ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:UniProtKB Gene Name;Acc:A0A8C0QQG3]",ENSCAFG00845001921
,,,ENSCAFG00845001922
,,,ENSCAFG00845001923
,,,ENSCAFG00845001924
479975,PRKACB,protein kinase cAMP-activated catalytic subunit beta [Source:UniProtKB Gene Name;Acc:A0A8C0SLZ6],ENSCAFG00845001925
,,,ENSCAFG00845001926
489653,ZNF276,zinc finger protein 276 [Source:UniProtKB Gene Name;Acc:A0A8I3MJS0],ENSCAFG00845001927
,,,ENSCAFG00845001928
100686569,PSMA6,protein only RNase P catalytic subunit [Source:UniProtKB Gene Name;Acc:A0A8C0RDG3],ENSCAFG00845001929
480290,PSMA6,protein only RNase P catalytic subunit [Source:UniProtKB Gene Name;Acc:A0A8C0RDG3],ENSCAFG00845001929
404022,KCNA2,potassium voltage-gated channel subfamily A member 2 [Source:NCBI gene (formerly Entrezgene);Acc:404022],ENSCAFG00845001930
484579,UPK1A,uroplakin 1A [Source:UniProtKB Gene Name;Acc:A0A8I3MEZ2],ENSCAFG00845001931
,,,ENSCAFG00845001932
100855729,GDPD3,glycerophosphodiester phosphodiesterase domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A8C0PP45],ENSCAFG00845001933
489241,GOLPH3,golgi phosphoprotein 3 [Source:UniProtKB Gene Name;Acc:A0A8P0TRT8],ENSCAFG00845001934
607700,NCF1,neutrophil cytosolic factor 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MJA0],ENSCAFG00845001935
,,,ENSCAFG00845001936
,,,ENSCAFG00845001937
478014,RBM17,RNA binding motif protein 17 [Source:UniProtKB Gene Name;Acc:A0A8I3MLP9],ENSCAFG00845001938
488947,,,ENSCAFG00845001939
490457,S100A13,S100 calcium binding protein A13 [Source:UniProtKB Gene Name;Acc:A0A8I3MJC0],ENSCAFG00845001940
403721,GHR,growth hormone receptor [Source:NCBI gene (formerly Entrezgene);Acc:403721],ENSCAFG00845001941
,,,ENSCAFG00845001942
,,,ENSCAFG00845001943
,,,ENSCAFG00845001944
,,,ENSCAFG00845001945
119870595,RNU5E-4P,U5 spliceosomal RNA [Source:RFAM;Acc:RF00020],ENSCAFG00845001946
119871323,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845001947
487163,TMCO6,transmembrane and coiled-coil domains 6 [Source:UniProtKB Gene Name;Acc:A0A8I3MJD0],ENSCAFG00845001948
106557472,,,ENSCAFG00845001949
,,,ENSCAFG00845001950
479442,C5H11orf1,cilia and flagella associated protein 68 [Source:UniProtKB Gene Name;Acc:A0A8I3MLR9],ENSCAFG00845001951
,,,ENSCAFG00845001952
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845001953
,,,ENSCAFG00845001954
100885884,MIR1836,microRNA mir-1836 [Source:NCBI gene (formerly Entrezgene);Acc:100885884],ENSCAFG00845001955
,,,ENSCAFG00845001956
,,,ENSCAFG00845001957
,KCNA10,potassium voltage-gated channel subfamily A member 10 [Source:UniProtKB Gene Name;Acc:A0A8C0SH53],ENSCAFG00845001958
483948,CDH19,cadherin 19 [Source:UniProtKB Gene Name;Acc:A0A8I3MEZ8],ENSCAFG00845001959
,,,ENSCAFG00845001960
488821,CPEB2,cytoplasmic polyadenylation element binding protein 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MKY7],ENSCAFG00845001961
479735,PPP1R35,protein phosphatase 1 regulatory subunit 35 [Source:UniProtKB Gene Name;Acc:A0A8C0NWP5],ENSCAFG00845001962
,,,ENSCAFG00845001963
488885,SLCO6A1,solute carrier organic anion transporter family member 6A1 [Source:UniProtKB Gene Name;Acc:A0A8I3MF15],ENSCAFG00845001964
489443,SMTNL2,smoothelin like 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MJF0],ENSCAFG00845001965
119869912,,,ENSCAFG00845001966
488989,TFAM,"transcription factor A, mitochondrial [Source:UniProtKB Gene Name;Acc:A0A8I3RQB5]",ENSCAFG00845001967
,,,ENSCAFG00845001968
,,,ENSCAFG00845001969
480351,,,ENSCAFG00845001970
,,,ENSCAFG00845001971
489973,SCNN1G,sodium channel epithelial 1 subunit gamma [Source:UniProtKB Gene Name;Acc:A0A8I3MKE6],ENSCAFG00845001972
,,,ENSCAFG00845001973
,,,ENSCAFG00845001974
119872782,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845001975
476260,MRPL18,mitochondrial ribosomal protein L18 [Source:UniProtKB Gene Name;Acc:A0A8C0N4X7],ENSCAFG00845001976
612644,,,ENSCAFG00845001977
,,,ENSCAFG00845001978
489839,MEPCE,methylphosphate capping enzyme [Source:UniProtKB Gene Name;Acc:A0A8C0NWJ2],ENSCAFG00845001979
490601,OR6E1,olfactory receptor family 6 subfamily E member 1 [Source:NCBI gene (formerly Entrezgene);Acc:490601],ENSCAFG00845001980
608726,VPS9D1,VPS9 domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A8P0SNG9],ENSCAFG00845001981
,,,ENSCAFG00845001982
609186,DMRT1,doublesex and mab-3 related transcription factor 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MF10],ENSCAFG00845001983
479184,ZNF248,zinc finger protein 248 [Source:UniProtKB Gene Name;Acc:A0A8C0N7W2],ENSCAFG00845001984
488745,MAN2A2,mannosidase alpha class 2A member 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MET9],ENSCAFG00845001985
612322,S100A14,S100 calcium binding protein A14 [Source:UniProtKB Gene Name;Acc:A0A8C0PB20],ENSCAFG00845001986
,,,ENSCAFG00845001987
,,,ENSCAFG00845001988
,,,ENSCAFG00845001989
102155863,,,ENSCAFG00845001990
100856000,CYM,,ENSCAFG00845001991
478032,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2 [Source:UniProtKB Gene Name;Acc:A0A8I3MRD6],ENSCAFG00845001992
,,,ENSCAFG00845001993
608289,NPPA,natriuretic peptide A [Source:NCBI gene (formerly Entrezgene);Acc:608289],ENSCAFG00845001994
487441,NPPA,natriuretic peptide A [Source:NCBI gene (formerly Entrezgene);Acc:608289],ENSCAFG00845001994
,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845001995
,,,ENSCAFG00845001996
,,,ENSCAFG00845001997
484065,PNLDC1,PARN like ribonuclease domain containing exonuclease 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MRF6],ENSCAFG00845001998
,,,ENSCAFG00845001999
611390,NCR1,natural cytotoxicity triggering receptor 1 [Source:NCBI gene (formerly Entrezgene);Acc:611390],ENSCAFG00845002000
119873048,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002001
612646,ETV2,ETS variant transcription factor 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MKH1],ENSCAFG00845002002
609208,DMRT3,doublesex and mab-3 related transcription factor 3 [Source:UniProtKB Gene Name;Acc:A0A8I3MLU1],ENSCAFG00845002003
489382,TTC36,tetratricopeptide repeat domain 36 [Source:UniProtKB Gene Name;Acc:A0A8C0PU42],ENSCAFG00845002004
611419,FIRRM,FIGNL1 interacting regulator of recombination and mitosis [Source:UniProtKB Gene Name;Acc:A0A8C0PDU7],ENSCAFG00845002005
480239,OXA1L,OXA1L mitochondrial inner membrane protein [Source:UniProtKB Gene Name;Acc:A0A8I3RRW5],ENSCAFG00845002006
490458,S100A16,S100 calcium binding protein A16 [Source:UniProtKB Gene Name;Acc:A0A8C0NZ47],ENSCAFG00845002007
610310,,,ENSCAFG00845002008
608626,BICC1,BicC family RNA binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A8C0PKF0],ENSCAFG00845002009
,,,ENSCAFG00845002010
100686967,LIG1,DNA ligase 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MJU4],ENSCAFG00845002011
,,,ENSCAFG00845002012
403413,DNASE1,deoxyribonuclease 1 [Source:NCBI gene (formerly Entrezgene);Acc:403413],ENSCAFG00845002013
480352,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:UniProtKB Gene Name;Acc:A0A8C0QQP0]",ENSCAFG00845002014
608743,SPATA2L,spermatosis associated 2 like [Source:UniProtKB Gene Name;Acc:A0A8P0SNQ9],ENSCAFG00845002015
100855877,MAPK3,mitogen-activated protein kinase 3 [Source:NCBI gene (formerly Entrezgene);Acc:100855877],ENSCAFG00845002016
,,,ENSCAFG00845002017
,,,ENSCAFG00845002018
483949,CDH7,cadherin 7 [Source:UniProtKB Gene Name;Acc:A0A8C0NEU1],ENSCAFG00845002019
403661,TEKT1,tektin 1 [Source:VGNC Symbol;Acc:VGNC:47242],ENSCAFG00845002020
607109,IK,IK cytokine [Source:UniProtKB Gene Name;Acc:A0A8C0MFM1],ENSCAFG00845002021
,,,ENSCAFG00845002022
490672,RPL10L,ribosomal protein L10 like [Source:UniProtKB Gene Name;Acc:A0A8C0LZJ8],ENSCAFG00845002023
100856124,PROK1,prokineticin 1 [Source:UniProtKB Gene Name;Acc:A0A8C0SJ77],ENSCAFG00845002024
484127,EPB41L2,erythrocyte membrane protein band 4.1 like 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MLI0],ENSCAFG00845002025
106559228,DMRT2,doublesex and mab-3 related transcription factor 2 [Source:UniProtKB Gene Name;Acc:A0A8C0NJ03],ENSCAFG00845002026
100686528,SLCO4C1,solute carrier organic anion transporter family member 4C1 [Source:UniProtKB Gene Name;Acc:A0A8C0SN41],ENSCAFG00845002027
490602,SLC7A7,solute carrier family 7 member 7 [Source:UniProtKB Gene Name;Acc:A0A8I3RRW9],ENSCAFG00845002028
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845002029
403870,IL2RA,interleukin 2 receptor subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:403870],ENSCAFG00845002030
,,,ENSCAFG00845002031
479293,RANBP17,RAN binding protein 17 [Source:UniProtKB Gene Name;Acc:A0A8C0LSX0],ENSCAFG00845002032
100856211,USP31,ubiquitin specific peptidase 31 [Source:UniProtKB Gene Name;Acc:A0A8I3N0R8],ENSCAFG00845002033
479714,GTF2I,ral transcription factor IIi [Source:UniProtKB Gene Name;Acc:A0A8P0TEA2],ENSCAFG00845002034
,,,ENSCAFG00845002035
612326,S100A2,S100 calcium binding protein A2 [Source:NCBI gene (formerly Entrezgene);Acc:612326],ENSCAFG00845002036
479907,LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:UniProtKB Gene Name;Acc:A0A8I3MF29]",ENSCAFG00845002037
,,,ENSCAFG00845002038
478033,WDR55,WD repeat domain 55 [Source:UniProtKB Gene Name;Acc:A0A8I3RRX2],ENSCAFG00845002039
100685478,METTL18,"methyltransferase 18, RPL3 N3(tau)-histidine [Source:UniProtKB Gene Name;Acc:A0A8C0PQD4]",ENSCAFG00845002040
,,,ENSCAFG00845002041
484066,MAS1,"MAS1 proto-onco, G protein-coupled receptor [Source:VGNC Symbol;Acc:VGNC:111563]",ENSCAFG00845002042
479228,RUFY2,RUN and FYVE domain containing 2 [Source:UniProtKB Gene Name;Acc:A0A8C0P6C0],ENSCAFG00845002043
611099,NDRG4,NDRG family member 4 [Source:UniProtKB Gene Name;Acc:A0A8C0RA57],ENSCAFG00845002044
,,,ENSCAFG00845002045
119871743,5S_rRNA,5S ribosomal RNA [Source:RFAM;Acc:RF00001],ENSCAFG00845002046
480291,NFKBIA,NFKB inhibitor alpha [Source:UniProtKB Gene Name;Acc:A0A8I3MKL4],ENSCAFG00845002047
,,,ENSCAFG00845002048
490834,BTBD7,BTB domain containing 7 [Source:UniProtKB Gene Name;Acc:A0A8I3MK42],ENSCAFG00845002049
479185,,,ENSCAFG00845002050
489655,CDK10,cyclin dependent kinase 10 [Source:UniProtKB Gene Name;Acc:A0A8C0N0J1],ENSCAFG00845002051
119871833,FBXO39,F-box protein 39 [Source:UniProtKB Gene Name;Acc:A0A8I3MF35],ENSCAFG00845002052
,,,ENSCAFG00845002053
480354,AKAP5,A-kinase anchoring protein 5 [Source:UniProtKB Gene Name;Acc:A0A8C0QE01],ENSCAFG00845002054
,,,ENSCAFG00845002055
,,,ENSCAFG00845002056
,,,ENSCAFG00845002057
,,,ENSCAFG00845002058
,,,ENSCAFG00845002059
479908,SLC16A4,solute carrier family 16 member 4 [Source:UniProtKB Gene Name;Acc:A0A8C0SI36],ENSCAFG00845002060
609002,ALG9,"ALG9 alpha-1,2-mannosyltransferase [Source:UniProtKB Gene Name;Acc:A0A8I3MF93]",ENSCAFG00845002061
489408,ALG9,"ALG9 alpha-1,2-mannosyltransferase [Source:UniProtKB Gene Name;Acc:A0A8I3MF93]",ENSCAFG00845002061
476191,WDR7,WD repeat domain 7 [Source:UniProtKB Gene Name;Acc:A0A8C0MD90],ENSCAFG00845002062
,,,ENSCAFG00845002063
,,,ENSCAFG00845002064
480185,ENOSF1,enolase superfamily member 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MHZ7],ENSCAFG00845002065
607141,DND1,DND microRNA-mediated repression inhibitor 1 [Source:UniProtKB Gene Name;Acc:A0A8P0SBB9],ENSCAFG00845002066
480240,MRPL52,mitochondrial ribosomal protein L52 [Source:UniProtKB Gene Name;Acc:A0A8C0RUZ0],ENSCAFG00845002067
,,,ENSCAFG00845002068
478125,FTO,FTO alpha-ketoglutarate dependent dioxygenase [Source:UniProtKB Gene Name;Acc:A0A8C0YUD6],ENSCAFG00845002069
478229,CLCN6,chloride voltage-gated channel 6 [Source:UniProtKB Gene Name;Acc:A0A8I3MRM2],ENSCAFG00845002070
,,,ENSCAFG00845002071
490652,INSM2,INSM transcriptional repressor 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MRL3],ENSCAFG00845002072
100856615,RIMOC1,RAB7A interacting MON1-CCZ1 complex subunit 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MLZ2],ENSCAFG00845002073
484306,,,ENSCAFG00845002074
489503,MYH8,myosin heavy chain 8 [Source:NCBI gene (formerly Entrezgene);Acc:403808],ENSCAFG00845002075
403808,MYH8,myosin heavy chain 8 [Source:NCBI gene (formerly Entrezgene);Acc:403808],ENSCAFG00845002075
479026,NR2F2,nuclear receptor subfamily 2 group F member 2 [Source:UniProtKB Gene Name;Acc:A0A8C0R9D3],ENSCAFG00845002076
,,,ENSCAFG00845002077
,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002078
,,,ENSCAFG00845002079
477952,CUL2,cullin 2 [Source:UniProtKB Gene Name;Acc:A0A8C0RUX9],ENSCAFG00845002080
490730,ZBTB25,zinc finger and BTB domain containing 25 [Source:UniProtKB Gene Name;Acc:A0A8C0P5S6],ENSCAFG00845002081
610317,TOR1AIP1,torsin 1A interacting protein 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MK59],ENSCAFG00845002082
489949,CORO1A,coronin 1A [Source:UniProtKB Gene Name;Acc:A0A8C0PRL8],ENSCAFG00845002083
607205,SERPINB8,serpin family B member 8 [Source:UniProtKB Gene Name;Acc:A0A8I3MHU9],ENSCAFG00845002084
,,,ENSCAFG00845002085
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845002086
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845002087
490269,,,ENSCAFG00845002088
484067,IGF2R,insulin like growth factor 2 receptor [Source:NCBI gene (formerly Entrezgene);Acc:484067],ENSCAFG00845002089
479867,SLX4,SLX4 structure-specific endonuclease subunit [Source:UniProtKB Gene Name;Acc:A0A8I3MF53],ENSCAFG00845002090
119871834,XAF1,XIAP associated factor 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MN77],ENSCAFG00845002091
612999,RBM42,ETS variant transcription factor 2 [Source:UniProtKB Gene Name;Acc:A0A8C0MH84],ENSCAFG00845002092
119871425,,,ENSCAFG00845002093
490460,S100A4,S100 calcium binding protein A4 [Source:NCBI gene (formerly Entrezgene);Acc:403787],ENSCAFG00845002094
403787,S100A4,S100 calcium binding protein A4 [Source:NCBI gene (formerly Entrezgene);Acc:403787],ENSCAFG00845002094
479909,RBM15,RNA binding motif protein 15 [Source:UniProtKB Gene Name;Acc:A0A8C0NR66],ENSCAFG00845002095
480310,MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:UniProtKB Gene Name;Acc:A0A8I3RS00],ENSCAFG00845002096
478202,EIF4G3,eukaryotic translation initiation factor 4 gamma 3 [Source:UniProtKB Gene Name;Acc:A0A8I3MM37],ENSCAFG00845002097
403999,SELE,selectin E [Source:NCBI gene (formerly Entrezgene);Acc:403999],ENSCAFG00845002098
479976,TTLL7,tubulin tyrosine ligase like 7 [Source:UniProtKB Gene Name;Acc:A0A8I3MK37],ENSCAFG00845002099
,,,ENSCAFG00845002100
488886,ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:UniProtKB Gene Name;Acc:A0A8C0NMC0]",ENSCAFG00845002101
119873172,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002102
479373,PDZD2,PDZ domain containing 2 [Source:VGNC Symbol;Acc:VGNC:111629],ENSCAFG00845002103
484414,CABP5,calcium binding protein 5 [Source:UniProtKB Gene Name;Acc:A0A8C0MYV3],ENSCAFG00845002104
,,,ENSCAFG00845002105
489157,NIPAL4,NIPA like domain containing 4 [Source:UniProtKB Gene Name;Acc:A0A8I3N0W7],ENSCAFG00845002106
606984,SLC13A5,solute carrier family 13 member 5 [Source:UniProtKB Gene Name;Acc:A0A8I3MEW6],ENSCAFG00845002107
,,,ENSCAFG00845002108
483951,SERPINB10,serpin family B member 10 [Source:UniProtKB Gene Name;Acc:A0A8C0NEC0],ENSCAFG00845002109
,,,ENSCAFG00845002110
489840,ZCWPW1,zinc finger CW-type and PWWP domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MK26],ENSCAFG00845002111
,,,ENSCAFG00845002112
119872320,,,ENSCAFG00845002113
607859,BOLA2B,bolA family member 2B [Source:UniProtKB Gene Name;Acc:A0A8I3N0Z9],ENSCAFG00845002114
,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],ENSCAFG00845002115
100856557,FBXO4,F-box protein 4 [Source:UniProtKB Gene Name;Acc:A0A8P0TV93],ENSCAFG00845002116
479214,PHYHIPL,phytanoyl-CoA 2-hydroxylase interacting protein like [Source:UniProtKB Gene Name;Acc:A0A8I3MFD1],ENSCAFG00845002117
,,,ENSCAFG00845002118
,,,ENSCAFG00845002119
,,,ENSCAFG00845002120
403823,MMP14,matrix metallopeptidase 14 [Source:UniProtKB Gene Name;Acc:A0A8C0NSG8],ENSCAFG00845002121
100855982,S100A5,S100 calcium binding protein A5 [Source:NCBI gene (formerly Entrezgene);Acc:100855982],ENSCAFG00845002122
488951,,,ENSCAFG00845002123
,,,ENSCAFG00845002124
,,,ENSCAFG00845002125
609604,SERPINB2,serpin family B member 2 [Source:UniProtKB Gene Name;Acc:A0A8C0Q244],ENSCAFG00845002126
,,,ENSCAFG00845002127
,,,ENSCAFG00845002128
,,,ENSCAFG00845002129
,,,ENSCAFG00845002130
119873178,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002131
484068,SLC22A1,solute carrier family 22 member 1 [Source:UniProtKB Gene Name;Acc:A0A8C0PT91],ENSCAFG00845002132
478230,MTHFR,methylenetetrahydrofolate reductase [Source:UniProtKB Gene Name;Acc:A0A8C0NLR3],ENSCAFG00845002133
,,,ENSCAFG00845002134
,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002135
399530,ELSPBP1,epididymal sperm binding protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:399530],ENSCAFG00845002136
,,,ENSCAFG00845002137
,,,ENSCAFG00845002138
,,,ENSCAFG00845002139
,,,ENSCAFG00845002140
479417,KMT2A,lysine methyltransferase 2A [Source:UniProtKB Gene Name;Acc:A0A8I3MSL5],ENSCAFG00845002141
490114,KCNC4,potassium voltage-gated channel subfamily C member 4 [Source:UniProtKB Gene Name;Acc:A0A8C0SKF1],ENSCAFG00845002142
,,,ENSCAFG00845002143
607000,MED31,mediator complex subunit 31 [Source:UniProtKB Gene Name;Acc:A0A8C0PL37],ENSCAFG00845002144
488744,HDDC3,HD domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A8C0M2P1],ENSCAFG00845002145
,,,ENSCAFG00845002146
611420,CDC42EP5,CDC42 effector protein 5 [Source:UniProtKB Gene Name;Acc:A0A8C0RAU8],ENSCAFG00845002147
,,,ENSCAFG00845002148
,,,ENSCAFG00845002149
607780,SLX1A,"SLX1 homolog A, structure-specific endonuclease subunit [Source:UniProtKB Gene Name;Acc:A0A8C0LSV3]",ENSCAFG00845002150
490033,NLRC3,NLR family CARD domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A8P0PII8],ENSCAFG00845002151
483952,SERPINB7,serpin family B member 7 [Source:UniProtKB Gene Name;Acc:A0A8C0RK04],ENSCAFG00845002152
480080,SELL,selectin L [Source:UniProtKB Gene Name;Acc:A0A8C0RUP4],ENSCAFG00845002153
608002,LRP10,LDL receptor related protein 10 [Source:UniProtKB Gene Name;Acc:A0A8C0RNG2],ENSCAFG00845002154
490603,LRP10,LDL receptor related protein 10 [Source:UniProtKB Gene Name;Acc:A0A8C0RNG2],ENSCAFG00845002154
,,,ENSCAFG00845002155
479347,OXCT1,3-oxoacid CoA-transferase 1 [Source:UniProtKB Gene Name;Acc:A0A8C0RCF0],ENSCAFG00845002156
100687367,,,ENSCAFG00845002157
100683627,ERICH4,glutamate rich 4 [Source:UniProtKB Gene Name;Acc:A0A8I3RQH1],ENSCAFG00845002158
487141,IL15RA,interleukin 15 receptor subunit alpha [Source:UniProtKB Gene Name;Acc:A0A8I3MME6],ENSCAFG00845002159
,,,ENSCAFG00845002160
476335,SMARCA2,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MKS8],ENSCAFG00845002161
476481,HAUS5,HAUS augmin like complex subunit 5 [Source:UniProtKB Gene Name;Acc:A0A8I3N168],ENSCAFG00845002162
403655,SLC22A2,solute carrier family 22 member 2 [Source:NCBI gene (formerly Entrezgene);Acc:403655],ENSCAFG00845002163
479317,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MKB3],ENSCAFG00845002164
480028,CEP350,centrosomal protein 350 [Source:UniProtKB Gene Name;Acc:A0A8I3ML27],ENSCAFG00845002165
102152274,,,ENSCAFG00845002166
,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002167
476385,LENG8,leukocyte receptor cluster member 8 [Source:UniProtKB Gene Name;Acc:A0A8I3RQH4],ENSCAFG00845002168
,,,ENSCAFG00845002169
608799,FAM174A,family with sequence similarity 174 member A [Source:UniProtKB Gene Name;Acc:A0A8C0SMD7],ENSCAFG00845002170
119872108,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002171
490115,SLC6A17,solute carrier family 6 member 17 [Source:UniProtKB Gene Name;Acc:A0A8C0NQK0],ENSCAFG00845002172
,,,ENSCAFG00845002173
490731,ZBTB1,zinc finger and BTB domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:490731],ENSCAFG00845002174
403827,CHRM3,cholinergic receptor muscarinic 3 [Source:UniProtKB Gene Name;Acc:A0A8I3N190],ENSCAFG00845002175
489841,PILRA,paired immunoglobin like type 2 receptor alpha [Source:UniProtKB Gene Name;Acc:A0A8I3MNN6],ENSCAFG00845002176
102154997,TXNDC17,thioredoxin domain containing 17 [Source:UniProtKB Gene Name;Acc:A0A8I3N199],ENSCAFG00845002177
100688177,,,ENSCAFG00845002178
478034,HARS1,histidyl-tRNA synthetase 1 [Source:UniProtKB Gene Name;Acc:A0A8C0PZR4],ENSCAFG00845002179
111097660,,,ENSCAFG00845002180
119871395,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002181
484486,DMAC2,distal membrane arm assembly component 2 [Source:UniProtKB Gene Name;Acc:A0A8C0M710],ENSCAFG00845002182
476261,SLC22A3,solute carrier family 22 member 3 [Source:UniProtKB Gene Name;Acc:A0A8I3ML17],ENSCAFG00845002183
119871400,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845002184
,,,ENSCAFG00845002185
,,,ENSCAFG00845002186
,,,ENSCAFG00845002187
611786,ALX3,ALX homeobox 3 [Source:UniProtKB Gene Name;Acc:A0A8I3MFC6],ENSCAFG00845002188
489796,GTF2IRD1,GTF2I repeat domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MSV9],ENSCAFG00845002189
612494,PLCXD3,phosphatidylinositol specific phospholipase C X domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A8C0MBR4],ENSCAFG00845002190
489656,CHMP1A,charged multivesicular body protein 1A [Source:UniProtKB Gene Name;Acc:A0A8I3MSA6],ENSCAFG00845002191
480355,HSPA2,heat shock protein family A (Hsp70) member 2 [Source:UniProtKB Gene Name;Acc:A0A8C0QLN2],ENSCAFG00845002192
403892,SULT1A1,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1 [Source:NCBI gene (formerly Entrezgene);Acc:403892]",ENSCAFG00845002193
,,,ENSCAFG00845002194
,,,ENSCAFG00845002195
478107,PRSS54,serine protease 54 [Source:UniProtKB Gene Name;Acc:A0A8C0LVU9],ENSCAFG00845002196
111094322,C2H1orf167,,ENSCAFG00845002197
,,,ENSCAFG00845002198
489975,HS3ST2,heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MNQ8],ENSCAFG00845002199
,,,ENSCAFG00845002200
608526,PVRIG,PVR related immunoglobulin domain containing [Source:UniProtKB Gene Name;Acc:A0A8I3MMC0],ENSCAFG00845002201
403917,YES1,"YES proto-onco 1, Src family tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:48484]",ENSCAFG00845002202
483953,SERPINB11,serpin family B member 11 [Source:UniProtKB Gene Name;Acc:A0A8I3MIC0],ENSCAFG00845002203
,,,ENSCAFG00845002204
610596,RPS29,ribosomal protein S29 [Source:UniProtKB Gene Name;Acc:A0A8C0Q0K9],ENSCAFG00845002205
488717,MCTP2,multiple C2 and transmembrane domain containing 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MFI0],ENSCAFG00845002206
,UBL4B,ubiquitin like 4B [Source:UniProtKB Gene Name;Acc:A0A8I3N1D0],ENSCAFG00845002207
403577,CRX,cone-rod homeobox [Source:NCBI gene (formerly Entrezgene);Acc:403577],ENSCAFG00845002208
,,,ENSCAFG00845002209
488891,CHD1,chromodomain helicase DNA binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MKL6],ENSCAFG00845002210
,,,ENSCAFG00845002211
611452,PPP1R36,protein phosphatase 1 regulatory subunit 36 [Source:UniProtKB Gene Name;Acc:A0A8I3MSC2],ENSCAFG00845002212
476386,TTYH1,tweety family member 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MMD8],ENSCAFG00845002213
479089,BOD1L1,biorientation of chromosomes in cell division 1 like 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MF24],ENSCAFG00845002214
,,,ENSCAFG00845002215
,,,ENSCAFG00845002216
490461,S100A8,S100 calcium binding protein A8 [Source:NCBI gene (formerly Entrezgene);Acc:490461],ENSCAFG00845002217
,,,ENSCAFG00845002218
